class,Forma del sombrero,Textura del sombrero,Color del sombrero,Seta dañada?,Olor,Espacio entre laminas,Tamaño de las laminas,Color de las laminas,Forma del tallo,Raiz,Superficie del tallo,Color del tallo,Tipo del anillo,Color de las esporas,poblacion,habitat
comestible,plana,fibrosa,gris,no,ninguno,cercano,estrecho,marron,agrandado,igual,liso,blanca,colgante,marron,solitarios,urbanos
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,marron,dispersos,pastos
comestible,convexa,escamosa,amarillo,si,anis,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,acampanada,lisa,blanca,si,almendra,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,lisa,blanca,si,anis,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,plana,escamosa,marron,si,anis,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,negro,solitarios,pastos
comestible,convexa,fibrosa,marron,no,ninguno,cercano,estrecho,marron,agrandado,igual,liso,blanca,colgante,marron,solitarios,urbanos
comestible,acampanada,lisa,blanca,si,anis,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,escamosa,amarillo,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,lisa,blanca,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,plana,escamosa,marron,si,anis,cercano,amplio,rosa,agrandado,conforma,liso,blanca,colgante,marron,dispersos,pastos
comestible,convexa,lisa,amarillo,si,almendra,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,acampanada,lisa,blanca,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,convexa,escamosa,blanca,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,fibrosa,marron,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,acampanada,lisa,amarillo,si,anis,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,plana,escamosa,amarillo,si,anis,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,marron,dispersos,pastos
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,marron,agrandado,conforma,liso,blanca,colgante,negro,solitarios,caminos
comestible,acampanada,escamosa,blanca,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,numerosos,pastos
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,marron,solitarios,pastos
comestible,acampanada,escamosa,blanca,si,anis,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,dispersos,bosques
comestible,acampanada,escamosa,blanca,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,dispersos,bosques
comestible,convexa,lisa,amarillo,si,almendra,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,convexa,lisa,amarillo,si,anis,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,convexa,fibrosa,blanca,si,almendra,abundante,estrecho,blanca,disminuido,bulba,liso,blanca,colgante,lila,varios,bosques
comestible,convexa,lisa,amarillo,si,almendra,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
venenoso,convexa,escamosa,blanca,si,mal_olor,cercano,estrecho,marron,agrandado,igual,liso,blanca,colgante,marron,varios,urbanos
comestible,convexa,escamosa,amarillo,si,anis,cercano,amplio,rosa,agrandado,conforma,liso,blanca,colgante,marron,dispersos,pastos
comestible,convexa,escamosa,amarillo,si,anis,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,negro,solitarios,pastos
comestible,convexa,lisa,amarillo,si,anis,abundante,estrecho,rosa,disminuido,bulba,liso,blanca,colgante,lila,varios,bosques
venenoso,convexa,lisa,blanca,si,mal_olor,cercano,estrecho,negro,agrandado,igual,liso,blanca,colgante,negro,varios,pastos
comestible,convexa,escamosa,blanca,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,numerosos,bosques
venenoso,plana,escamosa,marron,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,negro,varios,pastos
comestible,plana,lisa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,lisa,amarillo,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,dispersos,bosques
comestible,convexa,lisa,blanca,no,ninguno,abundante,amplio,marron,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,acampanada,lisa,amarillo,si,almendra,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,marron,numerosos,pastos
comestible,plana,fibrosa,gris,no,ninguno,abundante,amplio,chocolate,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,lisa,blanca,si,anis,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,acampanada,lisa,blanca,si,anis,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,marron,dispersos,bosques
comestible,acampanada,lisa,blanca,si,anis,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,acampanada,escamosa,blanca,si,anis,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,marron,dispersos,bosques
comestible,plana,lisa,blanca,si,anis,abundante,estrecho,blanca,disminuido,bulba,liso,blanca,colgante,lila,varios,bosques
comestible,convexa,escamosa,amarillo,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,dispersos,bosques
comestible,plana,lisa,blanca,si,almendra,abundante,estrecho,rosa,disminuido,bulba,liso,blanca,colgante,marron,varios,bosques
venenoso,convexa,escamosa,blanca,si,mal_olor,cercano,estrecho,blanca,agrandado,igual,liso,blanca,colgante,marron,varios,urbanos
comestible,plana,fibrosa,blanca,si,anis,abundante,estrecho,blanca,disminuido,bulba,liso,blanca,colgante,marron,varios,bosques
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
venenoso,convexa,lisa,marron,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,marron,varios,pastos
comestible,acampanada,lisa,amarillo,si,anis,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,marron,numerosos,pastos
comestible,convexa,escamosa,marron,si,almendra,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,negro,solitarios,caminos
comestible,acampanada,escamosa,amarillo,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,plana,escamosa,marron,si,almendra,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,negro,solitarios,caminos
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,convexa,fibrosa,gris,no,ninguno,abundante,amplio,negro,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,fibrosa,blanca,no,ninguno,abundante,amplio,negro,disminuido,igual,liso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,escamosa,amarillo,si,anis,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,marron,numerosos,bosques
comestible,acampanada,lisa,amarillo,si,anis,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,acampanada,escamosa,blanca,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,convexa,escamosa,blanca,si,almendra,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,convexa,lisa,marron,no,ninguno,abundante,amplio,rosa,disminuido,igual,fibroso,blanca,evanescente,marron,abundante,pastos
comestible,convexa,escamosa,blanca,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,convexa,lisa,blanca,si,almendra,abundante,estrecho,blanca,disminuido,bulba,liso,blanca,colgante,lila,varios,bosques
comestible,convexa,escamosa,marron,si,anis,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,negro,dispersos,pastos
comestible,acampanada,escamosa,amarillo,si,almendra,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,marron,numerosos,pastos
comestible,convexa,escamosa,blanca,si,almendra,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,marron,numerosos,pastos
comestible,acampanada,escamosa,blanca,si,almendra,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,dispersos,bosques
comestible,acampanada,lisa,amarillo,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,acampanada,lisa,amarillo,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,dispersos,bosques
comestible,acampanada,escamosa,amarillo,si,almendra,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,convexa,fibrosa,marron,no,ninguno,cercano,estrecho,negro,agrandado,igual,liso,blanca,colgante,marron,solitarios,urbanos
comestible,plana,escamosa,marron,si,anis,cercano,amplio,marron,agrandado,conforma,liso,blanca,colgante,marron,solitarios,pastos
comestible,convexa,escamosa,blanca,si,almendra,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,plana,escamosa,amarillo,si,anis,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,marron,solitarios,caminos
comestible,acampanada,lisa,blanca,si,almendra,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,acampanada,lisa,blanca,si,almendra,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,negro,dispersos,bosques
comestible,convexa,escamosa,marron,si,anis,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,negro,solitarios,pastos
comestible,acampanada,lisa,blanca,si,almendra,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,fibrosa,gris,no,ninguno,cercano,estrecho,gris,agrandado,igual,liso,blanca,colgante,marron,solitarios,urbanos
comestible,acampanada,lisa,amarillo,si,anis,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,convexa,fibrosa,amarillo,si,anis,abundante,estrecho,marron,disminuido,bulba,liso,blanca,colgante,lila,varios,bosques
comestible,acampanada,escamosa,amarillo,si,almendra,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,plana,escamosa,amarillo,si,anis,cercano,amplio,rosa,agrandado,conforma,liso,blanca,colgante,marron,dispersos,pastos
comestible,acampanada,escamosa,blanca,si,anis,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,acampanada,escamosa,blanca,si,almendra,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,acampanada,escamosa,amarillo,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,convexa,escamosa,amarillo,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,numerosos,bosques
comestible,acampanada,lisa,amarillo,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,numerosos,pastos
venenoso,convexa,escamosa,blanca,si,mal_olor,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,marron,varios,urbanos
comestible,plana,fibrosa,marron,no,ninguno,cercano,estrecho,gris,agrandado,igual,liso,blanca,colgante,negro,varios,urbanos
comestible,convexa,lisa,amarillo,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,dispersos,bosques
comestible,plana,escamosa,marron,si,almendra,cercano,amplio,rosa,agrandado,conforma,liso,blanca,colgante,negro,dispersos,caminos
venenoso,convexa,escamosa,blanca,si,mal_olor,cercano,estrecho,negro,agrandado,igual,liso,blanca,colgante,negro,dispersos,pastos
comestible,acampanada,lisa,blanca,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,dispersos,bosques
comestible,plana,fibrosa,gris,no,ninguno,cercano,estrecho,rosa,agrandado,igual,liso,blanca,colgante,negro,varios,urbanos
comestible,acampanada,escamosa,amarillo,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,numerosos,pastos
comestible,convexa,escamosa,marron,si,almendra,cercano,amplio,blanca,agrandado,conforma,liso,blanca,colgante,marron,solitarios,caminos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,rosa,disminuido,igual,liso,blanca,evanescente,negro,dispersos,pastos
comestible,convexa,lisa,blanca,si,anis,abundante,estrecho,blanca,disminuido,bulba,liso,blanca,colgante,marron,varios,bosques
comestible,acampanada,lisa,blanca,si,anis,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,marron,dispersos,bosques
comestible,plana,lisa,amarillo,si,almendra,abundante,estrecho,blanca,disminuido,bulba,liso,blanca,colgante,marron,varios,bosques
comestible,convexa,lisa,amarillo,si,almendra,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,marron,numerosos,bosques
comestible,plana,fibrosa,gris,no,ninguno,cercano,estrecho,gris,agrandado,igual,liso,blanca,colgante,marron,solitarios,urbanos
comestible,acampanada,lisa,amarillo,si,almendra,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,lisa,blanca,si,anis,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,marron,numerosos,bosques
comestible,convexa,escamosa,blanca,si,anis,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,marron,dispersos,bosques
comestible,plana,lisa,blanca,si,almendra,abundante,estrecho,marron,disminuido,bulba,liso,blanca,colgante,marron,varios,bosques
comestible,convexa,escamosa,amarillo,si,anis,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,marron,dispersos,pastos
comestible,acampanada,lisa,blanca,si,anis,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,lisa,blanca,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,convexa,fibrosa,blanca,no,ninguno,abundante,amplio,chocolate,disminuido,igual,fibroso,blanca,evanescente,negro,dispersos,pastos
comestible,plana,escamosa,marron,si,anis,cercano,amplio,marron,agrandado,conforma,liso,blanca,colgante,negro,solitarios,caminos
venenoso,convexa,lisa,blanca,si,mal_olor,cercano,estrecho,negro,agrandado,igual,liso,blanca,colgante,marron,varios,urbanos
comestible,acampanada,lisa,blanca,si,almendra,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,marron,numerosos,pastos
comestible,acampanada,lisa,blanca,si,almendra,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,negro,dispersos,bosques
comestible,acampanada,escamosa,blanca,si,anis,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,marron,numerosos,pastos
comestible,acampanada,escamosa,blanca,si,almendra,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,negro,numerosos,pastos
comestible,convexa,lisa,amarillo,si,almendra,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,acampanada,lisa,blanca,si,anis,cercano,amplio,blanca,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,convexa,fibrosa,amarillo,si,almendra,abundante,estrecho,marron,disminuido,bulba,liso,blanca,colgante,marron,varios,bosques
comestible,convexa,fibrosa,gris,no,ninguno,cercano,estrecho,marron,agrandado,igual,liso,blanca,colgante,marron,solitarios,urbanos
comestible,plana,escamosa,amarillo,si,almendra,cercano,amplio,marron,agrandado,conforma,liso,blanca,colgante,marron,dispersos,pastos
comestible,acampanada,lisa,blanca,si,anis,cercano,amplio,marron,agrandado,copa,liso,blanca,colgante,negro,numerosos,bosques
comestible,convexa,lisa,amarillo,si,almendra,cercano,amplio,gris,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
comestible,convexa,escamosa,amarillo,si,almendra,cercano,amplio,negro,agrandado,copa,liso,blanca,colgante,negro,dispersos,pastos
